mean_test_score,std_test_score,params,rank_test_score
0.9128553351410493,0.04321313558372078,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'char', 'tfidf__min_df': 3, 'tfidf__ngram_range': (3, 5)}",1
0.9110011883541296,0.039156245576349516,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'char', 'tfidf__min_df': 2, 'tfidf__ngram_range': (3, 5)}",2
0.8977681159420291,0.03593403370633329,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",3
0.896349688811695,0.03472867939562966,"{'clf': LinearSVC(), 'clf__C': 2.0, 'tfidf__analyzer': 'char', 'tfidf__min_df': 3, 'tfidf__ngram_range': (3, 5)}",4
0.8938437031303424,0.045558605456660003,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",5
0.8917243419106773,0.0303856715286326,"{'clf': LinearSVC(), 'clf__C': 2.0, 'tfidf__analyzer': 'char', 'tfidf__min_df': 2, 'tfidf__ngram_range': (3, 5)}",6
0.8897499509432905,0.053023769617770944,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",7
0.8887652030509173,0.03928000978238764,"{'clf': LinearSVC(), 'clf__C': 1.0, 'tfidf__analyzer': 'word', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",8
0.8880092363516411,0.042078620690183824,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",9
0.8876971310263235,0.05230292669234197,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",10
0.8870531400966184,0.03481500101990867,"{'clf': MultinomialNB(), 'clf__alpha': 0.5, 'tfidf__analyzer': 'word', 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",11
0.882758865248227,0.040564861301821256,"{'clf': MultinomialNB(), 'clf__alpha': 0.1, 'tfidf__analyzer': 'word', 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",12
0.8822478556640048,0.041883156312598334,"{'clf': LinearSVC(), 'clf__C': 2.0, 'tfidf__analyzer': 'word', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",13
